"voted2004","gender","ageY","ageC","educationC","incomeC","partyAffiliation","percentAttended"
"yes","M",104.921755307507,"(54.2,108]","primary","> 75k","Unaffiliated/Other",0.340909090909091
"no","M",63.4630115999125,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0.352941176470588
"no","F",49.6853797329832,"(45.8,54.2]","primary","35k-75k","Unaffiliated/Other",0.289473684210526
"yes","M",65.3069599474721,"(54.2,108]","postsec","> 75k","Democrat",0.431818181818182
"yes","M",38.1046180783541,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.181818181818182
"yes","M",47.3489822718319,"(45.8,54.2]","secondary","> 75k","Unaffiliated/Other",0.153846153846154
"no","F",44.6049463777632,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.181818181818182
"yes","F",53.7754432042022,"(45.8,54.2]","postsec","35k-75k","Unaffiliated/Other",0
"yes","F",68.0592033267673,"(54.2,108]","secondary","35k-75k","Democrat",0.545454545454545
"no","M",39.2673451521121,"(36.7,45.8]","primary","< 35k","Unaffiliated/Other",0.272727272727273
"yes","F",46.8702123002845,"(45.8,54.2]","secondary","> 75k","Unaffiliated/Other",0.363636363636364
"yes","F",36.2278397898884,"(19.2,36.7]","secondary","> 75k","Republican",0.159090909090909
"yes","F",40.9444079667323,"(36.7,45.8]","secondary","35k-75k","Republican",0.5
"yes","M",47.9700153206391,"(45.8,54.2]","postsec","> 75k","Democrat",0.5
"no","M",36.7312322171153,"(36.7,45.8]","secondary","> 75k","Unaffiliated/Other",0.269230769230769
"yes","M",48.1204858831254,"(45.8,54.2]","secondary","35k-75k","Democrat",0.295454545454545
"yes","F",61.0226526592252,"(54.2,108]","primary","< 35k","Unaffiliated/Other",0.340909090909091
"yes","M",51.4992339680455,"(45.8,54.2]","secondary","35k-75k","Democrat",0.379310344827586
"yes","M",62.9486758590501,"(54.2,108]","primary","> 75k","Republican",0.470588235294118
"yes","F",40.2768658349748,"(36.7,45.8]","postsec","35k-75k","Republican",0.409090909090909
"yes","F",78.6085576712629,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0.0454545454545455
"no","F",86.8133070693806,"(54.2,108]","primary","< 35k","Republican",0.590909090909091
"yes","M",48.2545414751587,"(45.8,54.2]","primary","< 35k","Republican",0.454545454545455
"yes","M",58.3853140731013,"(54.2,108]","secondary","> 75k","Unaffiliated/Other",0.227272727272727
"yes","F",46.8428540161961,"(45.8,54.2]","secondary","35k-75k","Democrat",0.227272727272727
"no","M",45.7156927117531,"(36.7,45.8]","postsec","35k-75k","Unaffiliated/Other",0.45
"yes","F",50.3884876340556,"(45.8,54.2]","secondary","< 35k","Democrat",0.454545454545455
"yes","M",44.6158896913986,"(36.7,45.8]","postsec","35k-75k","Republican",0.411764705882353
"yes","M",42.6132632961261,"(36.7,45.8]","secondary","> 75k","Unaffiliated/Other",0.482758620689655
"yes","F",20.9455022980959,"(19.2,36.7]","secondary","35k-75k","Unaffiliated/Other",0.125
"yes","F",49.0752899978113,"(45.8,54.2]","secondary","< 35k","Republican",0.409090909090909
"yes","F",71.5528562048588,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0.25
"yes","F",43.6474064346684,"(36.7,45.8]","primary","35k-75k","Unaffiliated/Other",0.136363636363636
"yes","F",49.896038520464,"(45.8,54.2]","secondary","35k-75k","Unaffiliated/Other",0.3
"yes","M",39.4561173123222,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.357142857142857
"yes","F",49.8057561829722,"(45.8,54.2]","postsec","> 75k","Democrat",0.289473684210526
"no","F",43.7732545414752,"(36.7,45.8]","secondary","35k-75k","Republican",0.428571428571429
"yes","F",41.4286495950974,"(36.7,45.8]","primary","35k-75k","Republican",0.363636363636364
"yes","F",41.0839352155833,"(36.7,45.8]","primary","35k-75k","Unaffiliated/Other",0.0857142857142857
"yes","M",40.3370540599694,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.269230769230769
"yes","M",62.9240534033705,"(54.2,108]","postsec","> 75k","Democrat",0.5
"yes","M",59.3592689866492,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0
"no","F",38.3727292624207,"(36.7,45.8]","secondary","> 75k","Republican",0.625
"yes","F",45.2506018822499,"(36.7,45.8]","secondary","35k-75k","Democrat",0.272727272727273
"yes","M",25.2325454147516,"(19.2,36.7]","postsec","35k-75k","Unaffiliated/Other",0.130434782608696
